parameter,sens_flag,minValue,maxValue,ini
bexp,        1,      0.40,      1.90,      1.0       
smcmax,      0,      0.80,      1.20,      1.0
dksat,       0,      0.20,      10.0,      1.0
refkdt,      0,      0.10,      4.00,      0.6
slope,       1,      0.00,      1.00,      0.1
retdeprtfac, 0,      0.10,      10.0,      1.0
lksatfac,    0,      10.0,      10000.0,   1000.0
zmax,        0,      10.0,      250.0,     25.0
expon,       0,      1.00,      8.0,       1.75
cwpvt,       0,      0.50,      2.0,       1.0
vcmx25,      0,      0.60,      1.4,       1.0
mp,          0,      0.60,      1.4,       1.0
hvt,         0,      0.25,      1.5,       1.0
mfsno,       0,      0.50,      2.0,       1.0
rsurfexp,    0,      1.0,       6.0,       5.0
Bw,          0,      0.1,       10.0,      1.0
HLINK,       0,      0.1,       10.0,      1.0
ChSSlp,      0,      0.1,       10.0,      1.0
MannN,       0,      0.1,       10.0,      1.0
